,Address,Zip_code,Municipality,Latitude,Longitude,Floor,Rooms,Area,Land_area,log_sqm_price,Sqm_price,Price,Owner_expense,Price_development,Energy_saving,Days_on_market,School_dist,Metro_dist,Jail_dist,Centrum_coor
105,"Nordre Fasanvej 162, 3 tv",2000,Frederiksberg,55.694094768855464,12.53360950177161,3,3,78,0,10.651193938585422,42243,3295000,2271,0.0,3.0,1,0.5285639998413331,1.4286379098674524,1.858086253746309,2.3046918337971785
106,"Ved Sønderport 18, 2 TV",2300,Tårnby,55.666575883985004,12.601744039443581,2,2,64,0,10.648016773545576,42109,2695000,2951,0.0,3.0,1,1.7848739848893707,0.3351202715071915,1.9305491334654123,2.9932643416914684
107,"Heimdalsgade 42, 1 3",2200,Frederiksberg,55.70277483563858,12.545651211461802,1,1,48,0,10.379317923304855,32187,1545000,1953,0.0,2.0,1,0.41466683745859406,2.3766124079973645,1.688019031583644,2.4273829376166005
108,"Godthåbsvænget 35, 3 tv",2000,Frederiksberg,55.691857270974296,12.520115496819868,3,3,87,0,10.571880868629844,39022,3395000,4659,0.0,4.0,1,0.9979513218528634,1.0079138882765963,2.6769847909519475,2.9960259198614043
109,"Odensegade 17, 5 tv",2100,København,55.7001395261962,12.58034543030411,5,5,139,0,10.638016570874843,41690,5795000,5437,0.0,4.0,1,0.330553701818096,1.957407090771665,1.5041714216316138,2.000898994616422
110,"Roskildevej 287, st TH",2610,Rødovre,55.67234320749782,12.471950603861348,0,3,66,0,10.540143743537802,37803,2495000,3527,0.0,2.0,1,0.9550370343503387,2.0538980983980863,4.301225225827025,6.046837152435334
111,"Dronning Olgas Vej 37, 2",2000,Frederiksberg,55.688678494527245,12.53528517852824,2,4,110,0,10.905955980651335,54500,5995000,3709,0.0,2.0,1,0.7236377068636194,0.829283556354163,1.7415466687113748,1.9817737391519843
112,"Hovedvejen 146, 3 h",2600,Albertslund,55.66602671978907,12.391805965670779,3,3,79,0,10.138678244761005,25303,1999000,1858,0.0,3.0,1,0.9808755612228837,6.678900528845601,9.210802306261177,11.129385579032858
113,"Cypernsvej 29, 3 tv",2300,Tårnby,55.652463821948224,12.61957814659198,3,4,78,0,10.555734610523901,38397,2995000,2532,0.0,3.0,1,1.0742499255681217,0.8579251036442063,3.6447463401474605,4.891336026983955
114,"Pærevangen 28, 1 TH",2765,Egedal,55.742804653952476,12.31468281588011,1,4,95,0,10.050052389617964,23157,2200000,4099,0.0,4.0,1,1.4160804173713968,12.692311903615874,16.616100612187868,17.078455491281225
115,"Skodsborgparken 40, 1 tv",2942,Rudersdal,55.82441125625551,12.5727090180794,1,5,113,0,10.827706770732405,50398,5695000,5526,0.0,4.0,1,2.6836328933133227,15.719614221974492,14.86216818305906,15.620600946097955
116,"Jagtvej 215A, 6 1",2100,København,55.709091279579354,12.574316904270198,6,3,70,0,10.71408437985122,44985,3149000,2999,0.0,4.0,1,0.8335308329224512,2.8841888318922733,2.138861931578314,2.82669783812863
117,"Spaden D 1, 2 3",2630,Høje-Taastrup,55.65084767829583,12.277852056850278,2,4,120,0,9.693260226488462,16208,1945000,4229,0.0,4.0,1,1.4076327296255504,14.016996077739824,16.427821938874143,18.493402332563317
118,"Matthæusgade 14, 4 tv",1666,København,55.6698975135833,12.55013562369869,4,3,79,0,10.779726826283932,48037,3795000,2624,0.0,3.0,1,0.6266013351854698,1.345079590763126,1.1248503774049208,1.8682719575742077
119,"Vejlegårdsparken 52, st 4",2665,Vallensbæk,55.62452716991658,12.380939585831712,0,2,47,0,10.223866701574618,27553,1295000,1848,0.0,3.0,1,0.9958272995871992,9.843556188478617,10.755381330783674,13.39584351322678
120,"Vester Søgade 18, 1 th",1601,København,55.676818923152844,12.55951511095444,1,4,111,0,10.714417768752456,45000,4995000,8339,0.0,3.0,1,0.36988033158412287,0.6881377702723727,0.8905046338256721,0.9075710749959938
