Address,Zip_code,Municipality,Latitude,Longitude,Floor,Rooms,Area,Land_area,log_sqm_price,Sqm_price,Price,Owner_expense,Yearly_expenses,First_year_expenses,log_yearly_sqm_exp,Price_development,Energy_saving,Days_on_market
"Englandsvej 34D, st th",2300,Tårnby,55.65564974239627,12.60392044001616,0,2,59,0,10.405776845279833,33050,1950000,3116,103662.0,198662.0,7.471353441497118,0.0,4.0,1
"Overgaden Neden Vandet 5A, 3 TV",1414,København,55.67133093150468,12.58830736826497,3,3,108,0,10.872958796881008,52731,5695000,4624,248862.0,528862.0,7.742522577820219,0.0,5.0,1
"Spaden A 5, 1 3",2630,Høje-Taastrup,55.65099456178256,12.27538388132195,1,4,116,0,9.801454826970977,18060,2095000,4235,122154.0,222154.0,6.959447631666367,0.0,4.0,1
"Frederikskaj 2D, 1 th",2450,København,55.64626662253708,12.54425849917516,1,3,112,0,10.655139462468636,42410,4750000,3717,205794.0,440794.0,7.51613207614304,0.0,8.0,1
"Bredebovej 35, st th",2800,Rudersdal,55.79601909521219,12.50487288751597,0,2,69,0,10.369389029448124,31869,2199000,2608,105838.8,215838.8,7.335565956258823,0.0,4.0,1
Maglekæret 11C,2680,Solrød,55.52163251348627,12.20723317683273,0,3,73,0,10.192343935215678,26698,1949000,3096,103054.8,203054.8,7.252556723415853,0.0,4.0,1
"Nordmarksvej 81, 3 tv",2770,Tårnby,55.63863968904575,12.63882544557277,3,4,95,0,10.568595276064828,38894,3695000,2701,157986.0,337986.0,7.4163848088877415,0.0,3.0,1
"Bybjergvej 13, 2 TV",2970,Rudersdal,55.88360492434457,12.50010090648244,2,3,77,0,10.162345677674331,25909,1995000,4234,118752.0,213752.0,7.34098714200664,0.0,2.0,1
Maglekæret 11B,2680,Solrød,55.52163251348627,12.20723317683273,0,3,73,0,10.192343935215678,26698,1949000,3096,103054.8,203054.8,7.252556723415853,0.0,4.0,1
"Krusågade 32, st tv",1719,København,55.66522722180309,12.55615498135436,0,3,82,0,10.601174413138105,40182,3295000,2711,144546.0,304546.0,7.4746338277115765,0.0,4.0,1
