Address,Zip_code,Municipality,Latitude,Longitude,Floor,Rooms,Area,Land_area,Price,Sqm_price,log_sqm_price,Price_development,Owner_expense,Sqm_owner_expenses,Yearly_expenses,First_year_expenses,Sqm_yearly_expenses,log_sqm_yearly_exp,Energy_saving,Days_on_market,School_dist,Metro_dist,Jail_dist,Centrum_coor
"Parkvej 149, 2 TH",2630,Høje-Taastrup,55.653654056402594,12.31957399318722,2,2,74,0,1695000,22905,10.039110506320842,0.0,2618,35.37837837837838,89190.0,169190.0,1205.2702702702702,7.094459111456082,4.0,80,0.9740550367656348,11.422568779204436,13.785107980658724,15.859634501265134
"Parkvej 147, st TH",2630,Høje-Taastrup,55.65328804171198,12.31914545323935,0,3,87,0,1995000,22931,10.040244985890988,0.0,2280,26.20689655172414,95304.0,190304.0,1095.4482758620688,6.998918942824613,4.0,63,0.9318507299853684,11.461491410635482,13.81503087785321,15.894810257843574
"Veksøvej 75, st",2700,København,55.70285251257044,12.4788776581195,0,5,173,0,3995000,23092,10.047241516180824,-4.8,6066,35.0635838150289,208536.0,403536.0,1205.4104046242776,7.0945753726893725,2.0,73,0.7578804812912346,1.8940090285382576,5.429690621065186,5.846597196206327
"Pærevangen 28, 1 TH",2765,Egedal,55.742804653952476,12.31468281588011,1,4,95,0,2200000,23157,10.050052389617964,0.0,4099,43.14736842105264,123768.0,233768.0,1302.821052631579,7.172287232798363,4.0,1,1.4160804173713968,12.692311903615876,16.616100612187868,17.078455491281225
Skelgårds Vænge 2B,2650,Hvidovre,55.62679760351836,12.47748517616067,0,4,99,0,2295000,23181,10.051088256601693,0.0,2749,27.767676767676768,111102.0,221102.0,1122.2424242424242,7.0230841271312805,4.0,11,1.7208663985701118,6.234807587640487,5.504613062546957,8.466088216369265
"Rebæk Søpark 3, 7 708",2650,Hvidovre,55.66348946583747,12.457215794433804,7,1,44,0,1020000,23181,10.051088256601693,0.0,1586,36.04545454545455,53676.0,103676.0,1219.909090909091,7.106531619302587,3.0,52,1.1265949213495996,3.400360250865239,5.087293843869244,7.2071097958968675
"Dalvangsvej 13, 2 2",2600,Albertslund,55.66867760316958,12.415182109728727,2,3,88,0,2045000,23238,10.053544148742807,-2.4,2974,33.79545454545455,105162.0,205162.0,1195.0227272727273,7.085920482823025,3.0,130,0.5329866861530785,5.204791953478061,7.761766137317588,9.629245817521554
"Vejlebrovej 97, nr",2635,Ishøj,55.618919343691594,12.366475038038027,0,3,107,10372,2495000,23317,10.056937987248991,0.0,3966,37.06542056074765,132486.0,252486.0,1238.1869158878505,7.121403423986697,3.0,142,1.994311823337788,10.930376124046717,11.840854466752946,14.497170825847272
"Lyngbyvej 347A, 2 th",2820,Gladsaxe,55.7418677425415,12.534519549218668,2,2,62,0,1450000,23387,10.059935591412069,-9.1,2560,41.290322580645146,80040.0,150040.0,1290.967741935484,7.1631474036525775,1.0,63,0.7151398062132398,6.609804106554423,5.928458462645795,6.717759901962955
"Lindevangshusene 82, 1 tv",2630,Høje-Taastrup,55.64393085951105,12.28903795361192,1,2,64,0,1498000,23406,10.060747678734712,0.0,2440,38.125,80055.6,155055.6,1250.86875,7.131593588895688,3.0,168,1.2338030702857294,13.59985688888046,15.809355391414426,17.982086921416194
"Bækkeskovvej 10C, 1 TV",2665,Vallensbæk,55.61868913307272,12.38494874748564,1,2,66,0,1545000,23409,10.060875842784867,-11.5,2345,35.53030303030303,80664.0,155664.0,1222.1818181818182,7.1083929160466255,3.0,186,0.9617164588581484,10.147624547873688,10.801616760628615,13.51714851554879
"Rebæk Søpark 3, 11 1115",2650,Hvidovre,55.66348946583747,12.457215794433804,1,2,61,0,1430000,23442,10.062284564283123,0.0,2107,34.540983606557376,73860.0,143860.0,1210.8196721311474,7.099052824233242,3.0,141,1.1265949213495996,3.400360250865239,5.087293843869244,7.2071097958968675
"Taastrup Have 51, 1 TH",2630,Høje-Taastrup,55.65229648812039,12.294239899282527,1,3,68,0,1595000,23455,10.062838970762558,0.0,2291,33.69117647058823,81876.0,156876.0,1204.0588235294115,7.093453481427318,3.0,8,0.7825213077857155,12.983839447575702,15.386720521970872,17.450523761647162
"Kong Haralds Park 3A, 1 th",2765,Egedal,55.74644840066486,12.28851671283736,1,3,102,0,2395000,23480,10.063904273942033,-4.0,3571,35.009803921568626,124356.0,239356.0,1219.1764705882354,7.105930885687947,4.0,105,2.8602075798860778,14.332718673810904,18.261857087304765,18.75422052768204
