date,identifier,type,value,country
1864-02-01,AGE00135039,TMAX,11.0,AG
1864-02-01,GME00125218,TMAX,-0.3,GM
1864-02-01,EZE00100082,TMAX,-1.9,EZ
1864-02-01,ITE00100554,TMAX,0.7,IT
1864-02-01,ASN00066062,TMAX,26.7,AS
1864-02-01,AU000005901,TMAX,-2.1,AU
1864-02-01,GM000004204,TMAX,0.5,GM
1864-02-01,UK000047811,TMAX,10.8,UK
1864-02-01,UK000056225,TMAX,10.4,UK
1864-02-01,SZ000006717,TMAX,-5.6,SZ
1864-02-02,ITE00100550,TMAX,1.1,IT
1864-02-02,ASN00086071,TMAX,21.7,AS
1864-02-02,CA006158350,TMAX,3.3,CA
1864-02-02,EIE00101859,TMAX,8.9,EI
1864-02-02,BE000006447,TMAX,4.1,BE
1864-02-02,AGE00135039,TMAX,10.5,AG
1864-02-02,GME00125218,TMAX,0.8,GM
1864-02-02,EZE00100082,TMAX,-0.3,EZ
1864-02-02,ITE00100554,TMAX,2.7,IT
1864-02-02,ASN00066062,TMAX,29.2,AS
1864-02-02,AU000005901,TMAX,-1.5,AU
1864-02-02,GM000004204,TMAX,3.8,GM
1864-02-02,UK000047811,TMAX,6.4,UK
1864-02-02,UK000056225,TMAX,9.3,UK
1864-02-02,SZ000006717,TMAX,-5.6,SZ
1864-02-03,ITE00100550,TMAX,5.0,IT
1864-02-03,ASN00086071,TMAX,21.1,AS
1864-02-03,CA006158350,TMAX,1.7,CA
1864-02-03,EIE00101859,TMAX,8.3,EI
1864-02-03,BE000006447,TMAX,5.2,BE
1864-02-03,AGE00135039,TMAX,11.5,AG
1864-02-03,GME00125218,TMAX,3.3,GM
1864-02-03,EZE00100082,TMAX,1.9,EZ
1864-02-03,ITE00100554,TMAX,6.5,IT
1864-02-03,ASN00066062,TMAX,27.9,AS
1864-02-03,AU000005901,TMAX,-0.9,AU
1864-02-03,GM000004204,TMAX,3.6,GM
1864-02-03,UK000047811,TMAX,5.3,UK
1864-02-03,UK000056225,TMAX,4.9,UK
1864-02-03,SZ000006717,TMAX,-5.0,SZ
1864-02-04,ITE00100550,TMAX,5.4,IT
1864-02-04,ASN00086071,TMAX,21.7,AS
1864-02-04,CA006158350,TMAX,2.2,CA
1864-02-04,EIE00101859,TMAX,9.4,EI
1864-02-04,BE000006447,TMAX,4.4,BE
1864-02-04,AGE00135039,TMAX,11.5,AG
1864-02-04,GME00125218,TMAX,3.3,GM
1864-02-04,EZE00100082,TMAX,3.0,EZ
1864-02-04,ITE00100554,TMAX,7.6,IT
1864-02-04,ASN00066062,TMAX,23.0,AS
1864-02-04,AU000005901,TMAX,0.6,AU
1864-02-04,GM000004204,TMAX,4.3,GM
1864-02-04,UK000047811,TMAX,5.2,UK
1864-02-04,UK000056225,TMAX,2.6,UK
1864-02-04,SZ000006717,TMAX,-4.8,SZ
1864-02-05,ITE00100550,TMAX,3.0,IT
1864-02-05,ASN00086071,TMAX,21.3,AS
1864-02-05,CA006158350,TMAX,2.2,CA
1864-02-05,EIE00101859,TMAX,10.0,EI
1864-02-05,BE000006447,TMAX,1.5,BE
1864-02-05,AGE00135039,TMAX,12.5,AG
1864-02-05,GME00125218,TMAX,1.3,GM
1864-02-05,EZE00100082,TMAX,1.5,EZ
1864-02-05,ITE00100554,TMAX,1.2,IT
1864-02-05,ASN00066062,TMAX,23.8,AS
1864-02-05,AU000005901,TMAX,3.1,AU
1864-02-05,GM000004204,TMAX,1.5,GM
1864-02-05,UK000047811,TMAX,4.6,UK
1864-02-05,UK000056225,TMAX,2.1,UK
1864-02-05,SZ000006717,TMAX,-14.4,SZ
1864-02-06,ITE00100550,TMAX,1.5,IT
